Fecha Operación,NombrePlanta,TipoGeneracion
1999-07-16,TERMOEMCALI CC,Combustible fósil
1989-10-21,TEBSAB CC,Combustible fósil
2020-12-31,POCUNE,Hidráulica
2021-01-22,TRINA-VATIA BSLII,Solar
2020-05-31,AUTOG CELSIA SOLAR ESPINAL,Solar
2020-06-11,SAN ANDRES DE CUERQUIA,Hidráulica
2020-03-14,PCH LA LIBERTAD,Hidráulica
2019-02-03,CELSIA SOLAR BOLIVAR,Solar
2017-09-03,AUTOG CELSIA SOLAR YUMBO,Solar
2019-09-30,ESCUELA DE MINAS,Hidráulica
2020-11-26,HIDROBARRANCAS,Hidráulica
2019-08-26,MULATOS II,Hidráulica
2024-03-23,EL PASO,Solar
2018-09-12,JUAN GARCIA,Hidráulica
2018-12-12,AURES BAJO,Hidráulica
2018-10-06,SAN JOSE DE LA MONTAÑA II,Hidráulica
2018-04-03,TEQUENDAMA 4,Hidráulica
2018-04-03,TEQUENDAMA 3,Hidráulica
2018-04-03,TEQUENDAMA 2,Hidráulica
2018-04-03,TEQUENDAMA 1,Hidráulica
2017-10-07,LUZMA II,Hidráulica
2017-10-07,LUZMA I,Hidráulica
2017-05-20,AUTOG CANTAYUS,Hidráulica
2017-04-25,SAN MATIAS,Hidráulica
2017-04-19,EL MOLINO,Hidráulica
2017-03-02,EL EDEN,Hidráulica
2016-12-22,MAGALLO,Hidráulica
2017-03-02,ALEJANDRIA,Hidráulica
2016-04-25,PORCE III MENOR,Hidráulica
2016-04-27,GUAVIO MENOR,Hidráulica
2017-09-29,AUTOG ARGOS EL CAIRO,Hidráulica
2016-09-10,MORRO AZUL,Hidráulica
2016-12-10,COELLO,Hidráulica
2015-09-30,PROVIDENCIA,Hidráulica
2015-11-22,CARLOS LLERAS,Hidráulica
2015-12-23,SAN MIGUEL,Hidráulica
2014-12-20,SOGAMOSO,Hidráulica
2014-11-27,LA NAVETA,Hidráulica
2016-06-30,TUNJITA,Hidráulica
2014-12-17,LAGUNETA,Hidráulica
2015-01-30,BAJO TULUA,Hidráulica
2014-06-25,SALTO II,Hidráulica
2013-11-10,DARIO VALENCIA SAMPER,Hidráulica
2013-04-15,USAQUEN,Hidráulica
2013-04-15,SUBA,Hidráulica
2012-11-30,BARROSO,Hidráulica
2014-12-31,SOGAMOSO_P,Hidráulica
2022-12-01,ITUANGO,Hidráulica
2015-07-29,CUCUANA,Hidráulica
2012-05-28,ALTO TULUA,Hidráulica
2013-05-24,AMOYA LA ESPERANZA,Hidráulica
2011-01-06,AMAIME,Hidráulica
2010-08-18,SANTA RITA,Hidráulica
2010-06-30,GUANAQUITAS,Hidráulica
2011-02-09,PORCE III,Hidráulica
2008-04-10,AGUA FRESCA,Hidráulica
2001-04-08,PORCE II,Hidráulica
2002-12-01,MIEL I,Hidráulica
2000-02-14,URRA,Hidráulica
2003-08-22,SAN ANTONIO,Hidráulica
2000-09-27,COCONUCO,Hidráulica
2006-06-30,CALDERAS,Hidráulica
2007-09-17,LA CASCADA ( ABEJORRAL),Hidráulica
2007-07-17,LA CASCADA (ANTIOQUIA),Hidráulica
1935-01-01,MUNICIPAL,Hidráulica
1960-01-01,RIO BOBO,Hidráulica
2007-12-01,RIO GRANDE,Hidráulica
1999-01-01,RUMOR,Hidráulica
1986-12-01,PAGUA,Hidráulica
1966-01-01,GUATRON,Hidráulica
2000-12-15,ALBAN,Hidráulica
1954-01-01,RIO FRIO I,Hidráulica
1925-01-01,RIO CALI,Hidráulica
1957-11-01,VENTANA B,Hidráulica
1932-01-01,ZARAGOZA,Hidráulica
1999-11-25,PAJARITO,Hidráulica
1954-01-01,CASCADA,Hidráulica
1996-01-01,RIO FRIO II,Hidráulica
1942-01-01,JULIO BRAVO,Hidráulica
1965-01-01,LA PITA,Hidráulica
1965-01-01,IQUIRA II,Hidráulica
1955-01-01,IQUIRA I,Hidráulica
1994-01-01,SILVIA,Hidráulica
1995-01-01,SAJANDI,Hidráulica
1958-01-01,RIO INGENIO,Hidráulica
1997-01-01,NUTIBARA,Hidráulica
2009-02-05,INZA,Hidráulica
1956-01-01,CAMPESTRE (CALARCA),Hidráulica
1993-06-28,NIQUIA,Hidráulica
1939-01-01,BELMONTE,Hidráulica
1958-01-01,MONDOMO,Hidráulica
1974-01-01,INTERMEDIA,Hidráulica
2003-08-22,CHARQUITO,Hidráulica
2001-09-01,PUENTE GUILLERMO,Hidráulica
1969-01-01,SAN FRANCISCO,Hidráulica
1984-01-20,SAN CARLOS,Hidráulica
1995-07-20,SALVAJINA,Hidráulica
1900-01-01,PIEDRAS BLANCAS,Hidráulica
1956-01-01,RIOGRANDE I,Hidráulica
1988-08-01,PLAYAS,Hidráulica
1954-01-01,RIO SAPUYES,Hidráulica
1935-01-01,CARACOLI,Hidráulica
2004-11-22,LA VUELTA,Hidráulica
1994-05-20,LA TASAJERA,Hidráulica
1988-07-01,JAGUAS,Hidráulica
2004-09-03,LA HERRADURA,Hidráulica
1972-01-01,GUATAPE,Hidráulica
2004-09-01,AUTOG CEMENTOS DEL NARE,Hidráulica
1963-01-01,ESMERALDA,Hidráulica
1994-01-01,NUEVO LIBARE,Hidráulica
1942-01-01,NIMA,Hidráulica
1992-01-01,MANANTIALES,Hidráulica
1997-01-01,CAMPESTRE (EPM),Hidráulica
1997-01-01,BELLO,Hidráulica
1983-10-26,AUTOG AYURA,Hidráulica
1967-01-01,CALIMA,Hidráulica
1997-01-01,AMERICA,Hidráulica
2004-04-27,JEPIRACHI 1 - 15,Eólica
2021-01-31,INGENIO MARIA LUISA,Biomasa
2017-04-22,BIOENERGY,Biomasa
2017-03-25,COGENERADOR PROENCA II,Biomasa
2016-03-17,INGENIO MANUELITA,Biomasa
2014-04-29,COGENERADOR PROENCA,Biomasa
2011-07-23,INGENIO SAN CARLOS 1,Biomasa
2010-01-26,INGENIO PICHICHI 1,Biomasa
2010-08-17,MAYAGUEZ 1,Biomasa
2009-02-05,PAPELES NACIONALES,Biomasa
2007-03-25,CENTRAL TUMACO 1,Biomasa
2018-05-21,INGENIO RIOPAILA 1,Biomasa
